,CL,CD,CL/CD,CL3/CD2,gamma,Airspeed,Drag,Power Required,Power Excessive,Rate of Climb
0,1.7,0.20584999999999998,8.258440612096187,115.9431302839834,0.5052518745702521,41.22903823224875,4157.814430237654,171422.69010686377,783073.3098931363,19.95599668433069
1,1.69,0.20364649999999998,8.298694060541184,116.38746605667997,0.5033826269413042,41.37217360856289,4141.91755738674,171360.13225655892,783135.8677434411,19.957590921086677
2,1.68,0.20145599999999997,8.339289969025495,116.83351207498193,0.5015151246416082,41.516418328992806,4125.986363263602,171296.17587697136,783199.8241230287,19.95922079824232
3,1.67,0.1992785,8.380231685806548,117.28123279001936,0.4996476223419123,41.66180953772178,4110.025598601536,171231.10368409814,783264.8963159019,19.960879111006673
4,1.66,0.19711399999999998,8.421522570695132,117.73059039848769,0.49778186537146846,41.80834501344824,4094.032129932171,171164.70778434654,783331.2922156535,19.962571157381586
5,1.65,0.19496249999999998,8.463165993460281,118.18154474422322,0.4959161084010245,41.95606259755491,4078.0106677598797,171097.2708500302,783398.7291499698,19.96428973368934
6,1.64,0.19282399999999997,8.505165332116334,118.63405321567903,0.4940503514305807,42.10498065041956,4061.961987955591,171028.83090560994,783467.16909439,19.966033870906983
7,1.63,0.1906985,8.547523971085248,119.08807063913135,0.49218633978938886,42.255098153681196,4045.883094055276,170959.18725762508,783536.812742375,19.967808683546764
8,1.6199999999999999,0.18858599999999998,8.59024529922688,119.54354916744096,0.4903205828189449,42.406473827442554,4029.7823948811883,170888.86165881788,783607.1383411821,19.969600875157546
9,1.6099999999999999,0.18648649999999994,8.633332707729515,120.00043816418713,0.48845657117775315,42.55908771870636,4013.6531685294212,170817.41727190735,783678.5827280927,19.971421578187886
10,1.5999999999999999,0.18439999999999998,8.676789587852495,120.45868408298476,0.48659081420730926,42.71299931856849,3997.503726177914,170745.37393221224,783750.6260677878,19.973257545050657
11,1.5899999999999999,0.18232649999999995,8.720619328512313,120.91823034178786,0.48472505723686543,42.868209312862284,3981.331163562184,170672.53766340524,783823.4623365947,19.97511371907734
12,1.5799999999999998,0.18026599999999995,8.764825313703085,121.37901719197399,0.4828593002664215,43.02473859338311,3965.1363470357783,170598.95481833638,783897.0451816636,19.97698891900264
13,1.5699999999999998,0.17821849999999997,8.809410919741778,121.8409815819991,0.48099354329597765,43.182608516645494,3948.9201596946364,170524.67331958268,783971.3266804173,19.978881923558035
14,1.5599999999999998,0.17618399999999995,8.854379512328022,122.30405701540138,0.4791260409962817,43.34186056632942,3932.687067672291,170449.97453805935,784046.0254619407,19.980785562230903
15,1.5499999999999998,0.17416249999999994,8.89973444340774,122.76817340292597,0.4772585386965858,43.502497385808475,3916.434361520592,170374.67557374004,784121.32442626,19.982704496082057
16,1.5399999999999998,0.17215399999999997,8.94547904782927,123.23325690853476,0.47538929106763783,43.664561423317984,3900.1664822811367,170299.05892673074,784196.9410732692,19.984631525822355
17,1.5299999999999998,0.17015849999999996,8.99161663977997,123.6992297890551,0.47352004343868986,43.82805638478565,3883.8808205918294,170222.94759668625,784273.0524033138,19.986571162163962
18,1.5199999999999998,0.16817599999999996,9.038150508990581,124.16601022721339,0.47164905048048983,43.993025742973025,3867.581795335572,170146.62548525166,784349.3745147483,19.98851617010062
19,1.5099999999999998,0.16620649999999998,9.085083916693993,124.63351215779147,0.4697780575222898,44.1594743276478,3851.266899120091,170069.9217606134,784426.0782393867,19.99047090314441
20,1.4999999999999998,0.16424999999999995,9.132420091324203,125.10164508663291,0.4679035739055856,44.32746624825792,3834.9439141078155,169993.34691657632,784502.6530834236,19.992422351769207
21,1.4899999999999998,0.16230649999999996,9.180162223940508,125.57031390221783,0.46602909028888145,44.49698794349967,3818.6069945031713,169916.50939537113,784579.4906046288,19.994380494511436
22,1.4799999999999998,0.16037599999999996,9.228313463361102,126.03941867951661,0.46415111601367326,44.66810464809954,3802.263847177597,169839.91942541447,784656.0805745856,19.996332328608194
23,1.4699999999999998,0.15845849999999995,9.276876910989314,126.50885447582053,0.462273141738465,44.84080409521676,3785.9087937365525,169763.19454229914,784732.8054577009,19.998287600858838
24,1.4599999999999997,0.15655399999999994,9.325855615314845,126.97851111824114,0.46039342213400475,45.01513323750299,3769.5462070630183,169686.62475586578,784809.3752441342,20.000238920594654
25,1.4499999999999997,0.15466249999999993,9.375252566071287,127.44827298255802,0.4585102118710403,45.19113962466614,3753.1803666392466,169610.49798534985,784885.5020146501,20.002178950424316
26,1.4399999999999997,0.15278399999999992,9.425070688030164,127.91801876308612,0.45662525627882383,45.36883252565769,3736.8090529254364,169534.66410253564,784961.3358974643,20.004111516245267
27,1.4299999999999997,0.15091849999999996,9.475312834410627,128.3876212332238,0.45473855535735536,45.54824141236253,3720.4333661105793,169459.1971182132,785036.8028817868,20.006034731951754
28,1.4199999999999997,0.14906599999999992,9.52598177988274,128.85694699633422,0.45284836377738275,45.7294159009845,3704.0575801454893,169384.3896036673,785111.6103963327,20.007941141598693
29,1.4099999999999997,0.14722649999999993,9.57708021314098,129.32585622660042,0.45095642686815807,45.912367491031034,3687.6796489974,169310.10323396497,785185.896766035,20.009834270286316
30,1.3999999999999997,0.14539999999999995,9.628610729023386,129.7942023994899,0.44906099930042936,46.09714729124593,3671.3038485211423,169236.63425619714,785259.3657438029,20.01170656839457
31,1.3899999999999997,0.14358649999999992,9.680575820150226,130.2618320114513,0.4471638264034485,46.28376840690766,3654.9282527483474,169163.8527940682,785332.1472059318,20.013561345716916
32,1.3799999999999997,0.14178599999999994,9.732977868054675,130.7285842884581,0.4452631628479636,46.472283539737084,3638.5571441924317,169092.0592804467,785403.9407195533,20.01539094596211
33,1.3699999999999997,0.13999849999999994,9.785819133776435,131.1942908830094,0.4433590086339746,46.662726842737314,3622.191722982232,169021.34294154393,785474.6570584561,20.017193095271562
34,1.3599999999999997,0.13822399999999993,9.83910174788749,131.65877555918436,0.4414513637614814,46.85513334975466,3605.8332246935024,168951.79657998992,785544.20342001,20.018965428644496
35,1.3499999999999996,0.13646249999999993,9.892827699917563,132.12185386534586,0.43954022823048416,47.049539004809006,3589.4829215968234,168883.51672676552,785612.4832732345,20.020705486066117
36,1.3399999999999996,0.13471399999999994,9.946998827144915,132.5833327940779,0.4376256020409829,47.245980692625864,3573.1421239610404,168816.6038006715,785679.3961993285,20.02241070844364
